Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_top.uut.rom.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb_top.uut.ram.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Tiempo | addr        | valid ready | wstrb | tx_req | tx_data
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:51
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:84
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
                   0 | xxxxxxxx |   x     0   |  xxxx   |   0    |   00
                5000 | xxxxxxxx |   0     0   |  xxxx   |   0    |   00
              365000 | 00000000 |   1     0   |  0000   |   0    |   00
              375000 | 00000000 |   1     1   |  0000   |   0    |   00
              385000 | 00000000 |   0     0   |  0000   |   0    |   00
              405000 | 00000004 |   1     0   |  0000   |   0    |   00
              415000 | 00000004 |   1     1   |  0000   |   0    |   00
              425000 | 00000004 |   0     0   |  0000   |   0    |   00
              445000 | 00000008 |   1     0   |  0000   |   0    |   00
              455000 | 00000008 |   1     1   |  0000   |   0    |   00
              465000 | 00000008 |   0     0   |  0000   |   0    |   00
              485000 | 0000000c |   1     0   |  0000   |   0    |   00
              495000 | 0000000c |   1     1   |  0000   |   0    |   00
              505000 | 0000000c |   0     0   |  0000   |   0    |   00
              525000 | 00000010 |   1     0   |  0000   |   0    |   00
              535000 | 00000010 |   1     1   |  0000   |   0    |   00
              545000 | 00000010 |   0     0   |  0000   |   0    |   00
              555000 | 00000018 |   1     0   |  1111   |   0    |   00
              565000 | 00000018 |   1     1   |  1111   |   0    |   00
              575000 | 00000018 |   0     0   |  1111   |   0    |   00
              595000 | 00000014 |   1     0   |  0000   |   0    |   00
              605000 | 00000014 |   1     1   |  0000   |   0    |   00
              615000 | 00000014 |   0     0   |  0000   |   0    |   00
              635000 | 00000018 |   1     0   |  0000   |   0    |   00
              645000 | 00000018 |   1     1   |  0000   |   0    |   00
              655000 | 00000018 |   0     0   |  0000   |   0    |   00
              665000 | 00000018 |   1     0   |  1111   |   0    |   00
              675000 | 00000018 |   1     1   |  1111   |   0    |   00
